{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_TTBar_Effs[i]}
2000 1200 -1.0 0.0 nan nan nan nan
1000 60 0.96 1205.4594969851094 0.3369433160472036 0.0018164768180759336 nan 0.0018164768180759336
400 80 -1.0 0.0 nan nan nan nan
2000 80 0.98 23163.314607803037 0.42952755212042776 7.888605525718089e-05 nan 7.888605525718089e-05
1400 200 0.97 3875.761324858781 0.4679586822776249 0.0018576891071806962 nan 0.0018576891071806962
3500 500 -0.41000000000000003 37341.528234051046 0.9359293498474832 0.0 nan 0.0
400 70 -1.0 0.0 nan nan nan nan
650 80 -0.37 1.3479430418844083 1.0 0.0 nan 0.0
3500 95 -0.36 40865.50636924956 0.9593482446469348 0.05697958509611682 nan 0.05697958509611682
3000 300 0.95 38444.86232589907 0.6707151458481462 0.0 nan 0.0
1400 1200 -1.0 0.0 nan nan nan nan
300 70 -1.0 0.0 nan nan nan nan
650 95 -1.0 0.0 nan 1.0 nan 1.0
3500 90 0.96 49062.03519232858 0.6206162138070477 0.0 nan 0.0
2000 1400 -1.0 0.0 nan nan nan nan
700 60 -1.0 0.0 nan 1.0 nan 1.0
4000 400 -0.42000000000000004 55398.789827943234 0.9494299981359489 0.0 nan 0.0
300 100 -1.0 0.0 nan nan nan nan
500 60 -1.0 0.0 nan 1.0 nan 1.0
800 60 -0.41000000000000003 18.071762444000985 0.8110485861971027 0.0 nan 0.0
1600 1200 -1.0 0.0 nan nan nan nan
900 60 0.75 129.1582589666342 0.6448766263674083 0.024877529163495175 nan 0.024877529163495175
500 100 -1.0 0.0 nan 1.0 nan 1.0
3500 1000 -1.0 0.0 nan nan nan nan
1400 1000 -1.0 0.0 nan nan nan nan
